"SiteNameE","DrainageBasinE","Latitude","Longitude","SiteType","Subset","Comment"
"La Media Luna Lagoon","Panuco River",21.86,-100.03,"Springs forming small shallow lake","83","Assemblage data are not comparable between time periods"
"Spring at Puerta del Rio","Panuco River",22.24,-100.26,"Spring","53","Assemblage data are comparable for both periods"
"Tributary to Ayuquila River","Armeria River",20.25,-104,"Stream","53","Assemblage data are comparable for both periods"
"Ayuquila River","Armeria River",19.85,-104.28,"Small river","53","Assemblage data are comparable for both periods"
"La Yerbabuena Stream","Armeria River",19.7,-104.21,"Stream","53","Assemblage data are comparable for both periods"
"De Comala River","Armeria River",19.32,-103.755,"Stream","53","Assemblage data are comparable for both periods"
"Ayutla River","Armeria River",20.1,-104.31,"Small river","53","Assemblage data are comparable for both periods"
"Lerma River at Puerto del Valle","Middle Lerma",20.49,-101.13,"Small river","53","Assemblage data are comparable for both periods"
"Turbio River close to El Nopal","Middle Lerma",20.37,-101.64,"Stream","53","Assemblage data are comparable for both periods"
"Tributary to Lerma River at Tanhuato","Lower Lerma",20.28,-102.33,"Not habitable","67","The historical assemblage could be reconstructed but in 2005 the locality did not sustain life anymore"
"Grande de Santiago River at Poncitlan","Grande de Santiago River",20.38,-102.93,"Not habitable","67","The historical assemblage could be reconstructed but in 2005 the locality did not sustain life anymore"
"Grande de Santiago River at Ocotlan","Grande de Santiago River",20.34,-102.77,"Small river","53","Assemblage data are comparable for both periods"
"Lake Chapala at Mezcala","Lower Lerma",20.34,-103.02,"Shallow lake","83","Assemblage data are not comparable between time periods"
"Stream at Acatlan de Juarez","Sayula Lagoons",20.42,-103.59,"Stream","53","Assemblage data are comparable for both periods"
"Cuarenta River","Grande de Santiago River",21.5,-101.76,NA,"67","The historical assemblage could be reconstructed but in 2005 the locality did not sustain life anymore"
"San Pedro River at Belen del Refugio","Grande de Santiago River",21.54,-102.43,"Small river","53","Assemblage data are comparable for both periods"
"El Gigante Reservoir","Grande de Santiago River",22.03,-102.12,"Not habitable","67","The historical assemblage could be reconstructed but in 2005 the locality did not sustain life anymore"
"Los Vergeles","Grande de Santiago River",21.77,-101.94,NA,"67","The historical assemblage could be reconstructed but in 2005 the locality did not sustain life anymore"
"Turbio River NE of Manuel Doblado","Middle Lerma",20.76,-101.92,"Not habitable","67","The historical assemblage could be reconstructed but in 2005 the locality did not sustain life anymore"
"Turbio River E of Cueramaro","Middle Lerma",20.61,-101.58,"Not habitable","67","The historical assemblage could be reconstructed but in 2005 the locality did not sustain life anymore"
"Turbio River at San Juan de La Puerta","Middle Lerma",20.72,-101.7,"Not habitable","67","The historical assemblage could be reconstructed but in 2005 the locality did not sustain life anymore"
"De La Laja en Atotonilco River","Middle Lerma",21,-100.79,"Small river","53","Assemblage data are comparable for both periods"
"Spring at Tocumbo","Balsas River",19.7,-102.51,"Modified spring","53","Assemblage data are comparable for both periods"
"San Marcos Lagoon","Sayula Lagoons",20.32,-103.57,"Stream","67","The historical assemblage could be reconstructed but in 2005 the locality did not sustain life anymore"
"Salado River","Naranjo - Coahuayana River",19.19,-103.69,"Small river","53","Assemblage data are comparable for both periods"
"Tributary to Tuxpan River","Naranjo - Coahuayana River",19.32,-103.39,"Stream","53","Assemblage data are comparable for both periods"
"Tributary to Tamazula River","Naranjo - Coahuayana River",19.78,-103.115,"Stream","53","Assemblage data are comparable for both periods"
